Yaw,Pitch,Roll,UncompAccX,UncompAccY,UncompAccZ,UncompGyroX,UncompGyroY,UncompGyroZ,Temperature,Pressure,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatS,LinAccelX,LinAccelY,LinAccelZ,LinAccelN,LinAccelE,LinAccelD
+077.404,+000.476,-000.482,+00.0746,+00.0749,-09.7912,+00.008928,-00.006303,-00.017929,+024.80,+098.22,+0.086,-0.052,+0.040,+00.0746,+00.0749,-09.7912,+00.000020,+00.000988,-00.001153,-0.00588082,+0.000615933,+0.625273,+0.780384,-00.0069,-00.0074,+00.0019,+00.0058,-00.0083,+00.0020
+077.403,+000.477,-000.482,+00.0653,+00.0853,-09.7640,+00.008162,-00.006668,-00.019308,+024.80,+098.23,+0.086,-0.052,+0.037,+00.0653,+00.0853,-09.7640,-00.000745,+00.000623,-00.002533,-0.0058824,+0.000619843,+0.625269,+0.780387,-00.0038,+00.0038,+00.0403,-00.0048,-00.0025,+00.0403
+077.400,+000.477,-000.482,+00.1118,+00.0714,-09.7900,+00.007738,-00.006811,-00.023839,+024.80,+098.22,+0.086,-0.052,+0.039,+00.1118,+00.0714,-09.7900,-00.001170,+00.000479,-00.007063,-0.00588539,+0.000621012,+0.625247,+0.780405,+00.0302,-00.0110,+00.0031,+00.0173,+00.0272,+00.0029
+077.388,+000.478,-000.481,+00.4128,-00.1473,-09.7500,+00.008938,-00.007202,-00.082392,+024.80,+098.22,+0.085,-0.052,+0.038,+00.4128,-00.1473,-09.7500,+00.000031,+00.000089,-00.065616,-0.00588737,+0.000632774,+0.625165,+0.780471,+00.1541,-00.1310,+00.0527,+00.1612,+00.1223,+00.0525
+077.321,+000.478,-000.482,-00.3902,+00.4052,-09.7975,+00.008867,-00.005858,-00.078369,+024.80,+098.22,+0.087,-0.051,+0.037,-00.3902,+00.4052,-09.7975,-00.000041,+00.001433,-00.061593,-0.00589041,+0.000631188,+0.624707,+0.780837,-00.4719,+00.3228,-00.0044,-00.4185,-00.3896,-00.0032
+077.314,+000.478,-000.482,+00.0272,+00.1181,-09.7608,+00.008485,-00.006922,-00.027586,+024.80,+098.23,+0.087,-0.051,+0.039,+00.0272,+00.1181,-09.7608,-00.000422,+00.000369,-00.010810,-0.0058925,+0.000630864,+0.624657,+0.780877,-00.0546,+00.0360,+00.0226,-00.0473,-00.0452,+00.0228
+077.311,+000.478,-000.482,+00.0732,+00.0968,-09.7746,+00.008829,-00.007349,-00.019945,+024.80,+098.22,+0.086,-0.053,+0.039,+00.0732,+00.0968,-09.7746,-00.000078,-00.000058,-00.003169,-0.00589302,+0.000631132,+0.624638,+0.780892,-00.0086,+00.0144,+00.0184,-00.0160,-00.0050,+00.0184
+077.310,+000.478,-000.482,+00.0515,+00.0530,-09.8044,+00.010159,-00.007084,-00.019184,+024.80,+098.23,+0.086,-0.051,+0.038,+00.0515,+00.0530,-09.8044,+00.001251,+00.000207,-00.002409,-0.00588934,+0.000630527,+0.624633,+0.780896,-00.0295,-00.0185,-00.0061,+00.0116,-00.0329,-00.0057
+077.309,+000.478,-000.482,+00.1079,+00.0786,-09.8182,+00.008160,-00.007205,-00.019354,+024.80,+098.22,+0.087,-0.052,+0.038,+00.1079,+00.0786,-09.8182,-00.000747,+00.000087,-00.002578,-0.00589036,+0.000631498,+0.624624,+0.780903,+00.0262,-00.0038,-00.0252,+00.0096,+00.0245,-00.0253
+077.309,+000.478,-000.482,+00.0836,+00.0891,-09.7574,+00.008632,-00.006606,-00.016425,+024.80,+098.22,+0.087,-0.052,+0.039,+00.0836,+00.0891,-09.7574,-00.000275,+00.000685,+00.000351,-0.00589253,+0.0006324,+0.624624,+0.780904,-00.0101,+00.0153,+00.0345,-00.0174,-00.0062,+00.0344
+077.309,+000.479,-000.482,+00.0759,+00.0855,-09.7897,+00.009290,-00.006438,-00.016729,+024.80,+098.23,+0.086,-0.050,+0.038,+00.0759,+00.0855,-09.7897,+00.000382,+00.000853,+00.000047,-0.00589397,+0.00063529,+0.624625,+0.780902,-00.0059,+00.0031,+00.0034,-00.0043,-00.0051,+00.0034
+077.309,+000.479,-000.482,+00.0766,+00.0746,-09.7548,+00.009398,-00.006795,-00.017338,+024.79,+098.21,+0.087,-0.051,+0.038,+00.0766,+00.0746,-09.7548,+00.000490,+00.000497,-00.000562,-0.00589145,+0.000637315,+0.624622,+0.780905,+00.0166,-00.0120,+00.0399,+00.0151,+00.0139,+00.0399
+077.308,+000.479,-000.482,+00.0860,+00.1130,-09.7326,+00.009335,-00.007848,-00.018217,+024.80,+098.22,+0.087,-0.052,+0.036,+00.0860,+00.1130,-09.7326,+00.000428,-00.000557,-00.001441,-0.00589699,+0.000640031,+0.624617,+0.780909,+00.0041,+00.0306,+00.0604,-00.0293,+00.0113,+00.0601
+077.306,+000.479,-000.482,+00.1064,+00.0958,-09.7392,+00.008406,-00.008068,-00.022564,+024.80,+098.23,+0.086,-0.052,+0.037,+00.1064,+00.0958,-09.7392,-00.000502,-00.000776,-00.005789,-0.00589742,+0.000637059,+0.624605,+0.780919,+00.0083,+00.0188,+00.0501,-00.0168,+00.0127,+00.0499
+077.299,+000.479,-000.482,+00.1269,+00.0521,-09.7545,+00.010197,-00.007393,-00.032588,+024.80,+098.22,+0.087,-0.051,+0.040,+00.1269,+00.0521,-09.7545,+00.001290,-00.000102,-00.015813,-0.00589174,+0.00063699,+0.624559,+0.780956,+00.0451,-00.0302,+00.0386,+00.0392,+00.0377,+00.0384
+077.258,+000.477,-000.481,+00.9902,-00.5452,-09.7546,+00.012678,-00.012038,-00.217087,+024.80,+098.22,+0.087,-0.052,+0.036,+00.9902,-00.5452,-09.7546,+00.003770,-00.004747,-00.200312,-0.00587963,+0.000630437,+0.624281,+0.781178,+00.5033,-00.3723,+00.0302,+00.4739,+00.4091,+00.0292
+076.935,+000.473,-000.479,+00.1570,+00.0064,-09.7489,+00.020307,-00.009276,-00.639614,+024.80,+098.22,+0.088,-0.051,+0.037,+00.1570,+00.0064,-09.7489,+00.011400,-00.001985,-00.622839,-0.00584012,+0.000636865,+0.622073,+0.782937,+00.0761,-00.0754,+00.0442,+00.0903,+00.0575,+00.0442
+076.712,+000.471,-000.477,-00.3010,+00.3355,-09.7944,+00.019345,-00.011083,-00.489737,+024.80,+098.22,+0.089,-0.051,+0.037,-00.3010,+00.3355,-09.7944,+00.010437,-00.003792,-00.472961,-0.00581646,+0.00064303,+0.620547,+0.784147,-00.2384,+00.2022,+00.0477,-00.2519,-00.1851,+00.0480
+076.552,+000.470,-000.478,-00.4555,+00.4590,-09.7606,+00.007010,-00.005565,-00.206112,+024.80,+098.22,+0.090,-0.049,+0.037,-00.4555,+00.4590,-09.7606,-00.001897,+00.001726,-00.189336,-0.00581771,+0.000636123,+0.619455,+0.785011,-00.5359,+00.3773,+00.0325,-00.4917,-00.4332,+00.0337
+076.518,+000.471,-000.479,+00.0156,+00.1484,-09.7744,+00.007291,-00.006432,-00.079427,+024.80,+098.22,+0.092,-0.049,+0.036,+00.0156,+00.1484,-09.7744,-00.001616,+00.000859,-00.062651,-0.00582518,+0.0006355,+0.619218,+0.785197,-00.1332,+00.1038,+00.0218,-00.1321,-00.1051,+00.0220
+076.488,+000.471,-000.480,+00.0727,+00.0810,-09.7524,+00.007671,-00.006444,-00.067820,+024.80,+098.23,+0.091,-0.049,+0.036,+00.0727,+00.0810,-09.7524,-00.001236,+00.000847,-00.051044,-0.00583378,+0.000631338,+0.619016,+0.785357,-00.0078,-00.0011,+00.0407,-00.0010,-00.0074,+00.0408
+076.460,+000.470,-000.481,+00.1069,+00.0704,-09.7751,+00.008228,-00.007656,-00.089100,+024.80,+098.22,+0.091,-0.050,+0.037,+00.1069,+00.0704,-09.7751,-00.000679,-00.000365,-00.072324,-0.00583759,+0.000627633,+0.618826,+0.785507,+00.0447,-00.0328,+00.0308,+00.0421,+00.0361,+00.0307
+076.411,+000.470,-000.482,+00.1288,+00.0392,-09.7372,+00.008402,-00.006464,-00.108184,+024.80,+098.22,+0.091,-0.048,+0.038,+00.1288,+00.0392,-09.7372,-00.000505,+00.000828,-00.091408,-0.00584259,+0.000623865,+0.618489,+0.785772,+00.0484,-00.0432,+00.0559,+00.0530,+00.0375,+00.0559
+076.363,+000.471,-000.482,+00.0972,+00.0693,-09.7762,+00.009314,-00.005435,-00.132455,+024.80,+098.22,+0.092,-0.049,+0.036,+00.0972,+00.0693,-09.7762,+00.000406,+00.001857,-00.115680,-0.00584342,+0.00063016,+0.61816,+0.78603,+00.0385,-00.0167,+00.0239,+00.0252,+00.0337,+00.0237
+076.306,+000.471,-000.483,+00.0524,+00.1159,-09.8109,+00.007841,-00.005528,-00.108441,+024.80,+098.23,+0.092,-0.049,+0.038,+00.0524,+00.1159,-09.8109,-00.001066,+00.001763,-00.091666,-0.00585101,+0.000628854,+0.617765,+0.786341,-00.0281,+00.0334,-00.0179,-00.0390,-00.0196,-00.0179
+076.271,+000.471,-000.483,+00.0664,+00.0980,-09.7722,+00.010475,-00.006830,-00.095610,+024.80,+098.22,+0.092,-0.047,+0.036,+00.0664,+00.0980,-09.7722,+00.001568,+00.000461,-00.078834,-0.00584907,+0.000631156,+0.617529,+0.786526,-00.0262,+00.0171,+00.0261,-00.0230,-00.0211,+00.0261
+076.230,+000.471,-000.483,+00.0308,+00.1174,-09.7504,+00.008318,-00.006851,-00.084376,+024.80,+098.23,+0.093,-0.049,+0.038,+00.0308,+00.1174,-09.7504,-00.000589,+00.000440,-00.067600,-0.0058477,+0.000631817,+0.617244,+0.78675,-00.0496,+00.0349,+00.0427,-00.0460,-00.0395,+00.0428
+076.203,+000.470,-000.482,+00.0829,+00.0952,-09.7429,+00.010597,-00.007837,-00.079512,+024.80,+098.23,+0.094,-0.047,+0.036,+00.0829,+00.0952,-09.7429,+00.001689,-00.000545,-00.062736,-0.00584335,+0.000633927,+0.617061,+0.786894,+00.0036,+00.0063,+00.0337,-00.0054,+00.0053,+00.0336
+076.168,+000.469,-000.482,+00.0840,+00.0839,-09.7920,+00.009666,-00.009782,-00.077479,+024.80,+098.22,+0.094,-0.046,+0.037,+00.0840,+00.0839,-09.7920,+00.000759,-00.002490,-00.060703,-0.00583463,+0.000628236,+0.616818,+0.787084,+00.0038,+00.0016,+00.0010,-00.0006,+00.0041,+00.0010
+076.145,+000.469,-000.482,+00.0363,+00.1018,-09.7839,+00.009960,-00.005981,-00.066751,+024.80,+098.23,+0.091,-0.048,+0.036,+00.0363,+00.1018,-09.7839,+00.001053,+00.001310,-00.049975,-0.00583205,+0.000631169,+0.61666,+0.787208,-00.0577,+00.0169,+00.0271,-00.0304,-00.0517,+00.0274
+076.123,+000.469,-000.482,+00.0613,+00.1008,-09.7656,+00.008709,-00.006699,-00.050202,+024.79,+098.21,+0.092,-0.048,+0.040,+00.0613,+00.1008,-09.7656,-00.000198,+00.000592,-00.033426,-0.0058336,+0.000633151,+0.616512,+0.787324,-00.0189,+00.0184,+00.0275,-00.0226,-00.0136,+00.0275
+076.111,+000.470,-000.482,+00.0587,+00.0927,-09.7729,+00.008428,-00.006078,-00.043872,+024.80,+098.22,+0.092,-0.046,+0.038,+00.0587,+00.0927,-09.7729,-00.000479,+00.001213,-00.027096,-0.00583685,+0.000635941,+0.616428,+0.787389,-00.0235,+00.0104,+00.0291,-00.0160,-00.0201,+00.0292
+076.096,+000.470,-000.482,+00.0648,+00.0857,-09.7531,+00.008164,-00.006614,-00.042846,+024.80,+098.23,+0.094,-0.049,+0.037,+00.0648,+00.0857,-09.7531,-00.000743,+00.000677,-00.026070,-0.00584352,+0.000637514,+0.616325,+0.78747,-00.0156,+00.0033,+00.0400,-00.0072,-00.0139,+00.0401
+076.086,+000.471,-000.482,+00.0680,+00.0903,-09.7708,+00.009423,-00.006650,-00.040240,+024.80,+098.22,+0.093,-0.046,+0.038,+00.0680,+00.0903,-09.7708,+00.000516,+00.000642,-00.023465,-0.00584413,+0.000641196,+0.616253,+0.787527,+00.0057,+00.0026,+00.0336,-00.0014,+00.0065,+00.0335
+076.071,+000.471,-000.482,+00.0775,+00.0894,-09.8041,+00.009586,-00.006857,-00.041814,+024.80,+098.23,+0.093,-0.048,+0.035,+00.0775,+00.0894,-09.8041,+00.000679,+00.000434,-00.025038,-0.00584533,+0.000645479,+0.616155,+0.787603,-00.0030,+00.0070,-00.0111,-00.0075,-00.0013,-00.0111
